from,to,strength,initial
Lyssavirus,Sus scrofa,1.653403611009181,0.2038732394366197
Flavivirus,Felis catus,1.1520980231372073,0.09673038229376257
Alphacoronavirus,Bos taurus,1.0785277457196223,0.21577800134138161
Lyssavirus,Rattus norvegicus,1.050180737265038,0.08482562038900066
Lyssavirus,Camelus dromedarius,1.025107305038806,0.07887323943661971
Lyssavirus,Bubalus bubalis,1.0229003247759532,0.09673038229376257
Flavivirus,Pan troglodytes,0.9549512365875193,0.09673038229376257
Lyssavirus,Myodes glareolus,0.9502384193353923,0.07887323943661971
Alphavirus,Capra hircus,0.9464716584181921,0.10863514419852446
Alphacoronavirus,Equus caballus,0.8986822147585675,0.1443494299128102
Lyssavirus,Rattus rattus,0.8517900012153365,0.0669684775318578
Alphavirus,Eidolon helvum,0.8357591442809241,0.0669684775318578
Alphacoronavirus,Ovis aries,0.819861245375405,0.15030181086519112
Flavivirus,Vulpes velox,0.8190829281686027,0.0550637156270959
Alphavirus,Camelus dromedarius,0.8013706226146367,0.07887323943661971
Alphavirus,Bubalus bubalis,0.7997354786005966,0.09673038229376257
Flavivirus,Aepyceros melampus,0.7878911861666439,0.0669684775318578
Flavivirus,Connochaetes taurinus,0.787891186166643,0.0669684775318578
Flavivirus,Micropteropus pusillus,0.7829367572997793,0.04911133467471496
Flavivirus,Myotis keenii,0.781054064529822,0.03720657276995305
Flavivirus,Bison bison,0.7731194450176903,0.04911133467471496
Betacoronavirus,Ovis aries,0.7667786055109527,0.15030181086519112
Flavivirus,Crocuta crocuta,0.7509092530715303,0.04911133467471496
Lyssavirus,Sigmodon hispidus,0.7508704656537005,0.04911133467471496
Alphavirus,Myodes glareolus,0.7433090557525882,0.07887323943661971
Flavivirus,Odocoileus hemionus,0.7386494679922684,0.06101609657947686
Lyssavirus,Macaca fascicularis,0.7378609101123659,0.07887323943661971
Flavivirus,Urocyon cinereoargenteus,0.7365006571382839,0.043158953722334
Flavivirus,Epomophorus gambianus,0.7320251676794259,0.043158953722334
Flavivirus,Myotis daubentonii,0.7320251676794256,0.043158953722334
Flavivirus,Pteropus giganteus,0.7320251676794252,0.043158953722334
Alphavirus,Rangifer tarandus,0.7297136099113658,0.0669684775318578
Flavivirus,Syncerus caffer,0.7253464316377354,0.0669684775318578
Lyssavirus,Odocoileus virginianus,0.7238609623306617,0.07292085848423877
Flavivirus,Canis mesomelas,0.7129490016045239,0.043158953722334
Lyssavirus,Proechimys guyannensis,0.7120356942744549,0.04911133467471496
Flavivirus,Tragelaphus strepsiceros,0.7079843289539938,0.0550637156270959
Alphavirus,Cynopterus sphinx,0.7038239885741104,0.04911133467471496
Flavivirus,Hipposideros caffer,0.7026801783426545,0.043158953722334
Lyssavirus,Lepus californicus,0.6962792879772561,0.043158953722334
Lyssavirus,Sylvilagus audubonii,0.6962792879772559,0.043158953722334
Lyssavirus,Proechimys semispinosus,0.6962792879772557,0.043158953722334
Lyssavirus,Didelphis marsupialis,0.6962792879772556,0.043158953722334
Lyssavirus,Tatera indica,0.6940811794980524,0.0550637156270959
Orthobunyavirus,Equus asinus,0.6908941875412394,0.08482562038900066
Flavivirus,Kobus ellipsiprymnus,0.6896195776126005,0.0669684775318578
Alphacoronavirus,Mus musculus,0.6829919509451906,0.11458752515090542
Orthobunyavirus,Rattus norvegicus,0.6809514861612573,0.08482562038900066
Flavivirus,Eptesicus serotinus,0.6713725601563012,0.03720657276995305
Flavivirus,Macaca mulatta,0.6641935373896098,0.09673038229376257
Lyssavirus,Pan troglodytes,0.6631029599208011,0.09673038229376257
Alphacoronavirus,Capra hircus,0.6553258464145821,0.10863514419852446
Lyssavirus,Chlorocebus aethiops,0.6537564674472954,0.06101609657947686
Orbivirus,Sus scrofa,0.6492416852081073,0.2038732394366197
Orthobunyavirus,Rousettus leschenaultii,0.6481788833286025,0.0669684775318578
Lyssavirus,Choloepus hoffmanni,0.6417912448870853,0.043158953722334
